question,type,value,notes
1,str,'55025',
2,dict,"{'48': 254, '13': 159, '51': 133, '21': 120, '29': 115}",
3,dict,"{'q1': 4.76837158203125e-05, 'q2': 4.76837158203125e-05}",
4,list,['p7'],
5,dict,"{'Milwaukee': 46570,
 'Dane': 38557,
 'Waukesha': 34159,
 'Brown': 15615,
 'Racine': 13007,
 'Outagamie': 11523,
 'Kenosha': 10744,
 'Washington': 10726,
 'Rock': 9834,
 'Winnebago': 9310}",
6,int,12,
7,dict,"{'Dane': 27,
 'Oneida': 1,
 'Door': 5,
 'Iron': 1,
 'Jefferson': 2,
 'Walworth': 2,
 'Monroe': 1,
 'Barron': 1,
 'Ashland': 1,
 'Waukesha': 1,
 'Brown': 3,
 'Green Lake': 1,
 'Adams': 1,
 'Bayfield': 2,
 'Sauk': 1,
 'Columbia': 2,
 'La Crosse': 1,
 'Iowa': 1,
 'Sheboygan': 1,
 'Kewaunee': 1,
 'Milwaukee': 1}",
8,float,0.2981038427285001,
9,float,0.79878858470684,
10,float,0.6,
